rank,gene,status,trust_boundary,alignment,deterministic_decision,agent_recommendation,triage_decision,stimulated_signal,specificity,assay_gate,reason_to_hold,stop_rules,agent_rationale
2,RCC1L,evidence_attached,proposal_only,more_aggressive,hold_as_ranked_backup,advance_to_assay_design,secondary_assay_queue,1167 DE at Stim48hr,"Rest 58 DE, K562 5 DE, RPE1 not measured","orthogonal knockdown plus matched Rest, Stim8hr, and Stim48hr targeted RNA-seq before assay-design promotion","model disagreement is evidence for review priority, not acceptance; deterministic review keeps RCC1L at hold as ranked backup until the assay gate passes",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.,"On-target KD drives 1167 DE at Stim48hr against only 58 at Rest and 5 in K562, a clean cell-type-specific stimulated footprint."
4,RWDD2B,evidence_attached,proposal_only,more_aggressive,hold_as_ranked_backup,advance_if_capacity_allows,capacity_assay_queue,720 DE at Stim8hr,"Rest 190 DE, K562 1 DE, RPE1 not measured",orthogonal knockdown and non-immune transfer check before spending primary assay capacity,"model disagreement is evidence for review priority, not acceptance; deterministic review keeps RWDD2B at hold as ranked backup until the assay gate passes",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.,"On-target KD with 720 Stim8hr DE and inert K562 (1 DE), but the lowest score and relatively high Rest activity (190 DE) make it a lower-priority advance."
5,CCDC22,evidence_attached,proposal_only,more_aggressive,hold_as_ranked_backup,advance_to_assay_design,secondary_assay_queue,619 DE at Stim48hr,"Rest 116 DE, K562 13 DE, RPE1 not measured","orthogonal knockdown plus matched Rest, Stim8hr, and Stim48hr targeted RNA-seq before assay-design promotion","model disagreement is evidence for review priority, not acceptance; deterministic review keeps CCDC22 at hold as ranked backup until the assay gate passes",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.,"Top-scoring candidate (1053, rank 5) with the largest stimulated footprint (619 DE at Stim48hr under on-target KD) that is cell-type-specific (inert in K562), making it the strongest proposal-only lead to advance."
8,CYB5RL,evidence_attached,proposal_only,more_aggressive,hold_as_ranked_backup,advance_if_capacity_allows,capacity_assay_queue,389 DE at Stim48hr,"Rest 11 DE, K562 13 DE, RPE1 not measured",orthogonal knockdown and non-immune transfer check before spending primary assay capacity,"model disagreement is evidence for review priority, not acceptance; deterministic review keeps CYB5RL at hold as ranked backup until the assay gate passes",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.,"Cleanest stim-specific signal (389 DE at Stim48hr on-target KD versus only 11 at Rest, inert in K562) but lowest score/rank (928, rank 8), so advance only if capacity permits."
11,SCO2,evidence_attached,proposal_only,more_aggressive,hold_as_ranked_backup,advance_if_capacity_allows,capacity_assay_queue,369 DE at Stim8hr,"Rest 53 DE, K562 0 DE, RPE1 not measured",orthogonal knockdown and non-immune transfer check before spending primary assay capacity,"model disagreement is evidence for review priority, not acceptance; deterministic review keeps SCO2 at hold as ranked backup until the assay gate passes",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.,"K562-inert cell-type specificity is confirmed and strongest Stim8hr is on-target, but the Stim48hr putative-off-target flag and elevated Rest DE (53) warrant caution before assay design."
12,CCDC136,evidence_attached,proposal_only,more_aggressive,advance_if_capacity_allows,advance_to_assay_design,secondary_assay_queue,263 DE at Stim48hr,"Rest 17 DE, K562 0 DE, RPE1 not measured","orthogonal knockdown plus matched Rest, Stim8hr, and Stim48hr targeted RNA-seq before assay-design promotion","model disagreement is evidence for review priority, not acceptance; deterministic review keeps CCDC136 at advance if capacity allows until the assay gate passes",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.,"On-target KD at the strongest condition (Stim48hr, 263 DE) with low Rest DE and confirmed K562-inert cell-type specificity leaves only the standard orthogonal-reproduction risk."
13,MITD1,evidence_attached,proposal_only,more_aggressive,advance_if_capacity_allows,advance_to_assay_design,secondary_assay_queue,250 DE at Stim48hr,"Rest 11 DE, K562 1 DE, RPE1 not measured","orthogonal knockdown plus matched Rest, Stim8hr, and Stim48hr targeted RNA-seq before assay-design promotion","model disagreement is evidence for review priority, not acceptance; deterministic review keeps MITD1 at advance if capacity allows until the assay gate passes",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.,"Strongest-condition footprint (Stim48hr, 250 DE) is under confirmed on-target KD with low Rest (11 DE) and K562-inert cell-type-specific behavior."
14,GZMB,evidence_attached,proposal_only,more_aggressive,hold_as_ranked_backup,advance_if_capacity_allows,capacity_assay_queue,496 DE at Stim8hr,"Rest 261 DE, K562 not measured, RPE1 not measured",orthogonal knockdown and non-immune transfer check before spending primary assay capacity,"model disagreement is evidence for review priority, not acceptance; deterministic review keeps GZMB at hold as ranked backup until the assay gate passes",failed on-target knockdown in the stimulated condition | A broad non-immune effect in a follow-up transfer assay would lower priority. | Rest effect grows on replicate | broad non-immune effect appears in a transfer assay,On-target Stim8hr signal (496 DE) is strong but the high Rest DE (261) derives from a no-on-target-KD condition and cross-cell transfer is not tested.
15,FANCL,evidence_attached,proposal_only,more_aggressive,hold_as_ranked_backup,advance_if_capacity_allows,capacity_assay_queue,329 DE at Stim48hr,"Rest 110 DE, K562 0 DE, RPE1 not measured",orthogonal knockdown and non-immune transfer check before spending primary assay capacity,"model disagreement is evidence for review priority, not acceptance; deterministic review keeps FANCL at hold as ranked backup until the assay gate passes",failed on-target knockdown in the stimulated condition | Loss of the stimulated DE footprint after orthogonal knockdown would lower priority.,"On-target KD footprint reproduces across two stim conditions (329 and 181 DE) with K562-inert specificity, though Rest DE (110) sits under a non-KD condition."
17,BCKDHA,evidence_attached,proposal_only,more_aggressive,hold_as_ranked_backup,advance_to_assay_design,secondary_assay_queue,374 DE at Stim8hr,"Rest 291 DE, K562 1 DE, RPE1 not measured","orthogonal knockdown plus matched Rest, Stim8hr, and Stim48hr targeted RNA-seq before assay-design promotion","model disagreement is evidence for review priority, not acceptance; deterministic review keeps BCKDHA at hold as ranked backup until the assay gate passes",failed on-target knockdown in the stimulated condition | A larger Rest effect on replicate would make this look less activation-specific. | Rest effect grows on replicate,"On-target KD drives a 374-DE Stim8hr footprint that is inert in K562 (1 DE, cell-type-specific), and its 291-DE Rest signal has no on-target KD so the activation-specific case holds."
