pmid,gene,typed_status,readout_comparability,marson_strongest_de,marson_strongest_condition,title,claim_sentence
39663454,KLF2,evidence_attached,comparable,987,Rest,Central control of dynamic gene circuits governs T cell rest and activation.,"MED12 was required for histone methylation and expression of genes encoding key context-specific regulators, including the rest maintenance factor KLF2 and the versatile regulator MYC."
39663454,MED12,evidence_attached,comparable,4142,Stim8hr,Central control of dynamic gene circuits governs T cell rest and activation.,"MED12 - a component of the Mediator complex - serves as a dynamic orchestrator of key regulators, controlling expression of distinct sets of regulators in different T cell contexts."
39663454,MED12,evidence_attached,comparable,4142,Stim8hr,Central control of dynamic gene circuits governs T cell rest and activation.,"MED12 was required for histone methylation and expression of genes encoding key context-specific regulators, including the rest maintenance factor KLF2 and the versatile regulator MYC."
39663454,MYC,evidence_attached,comparable,676,Stim8hr,Central control of dynamic gene circuits governs T cell rest and activation.,"MED12 was required for histone methylation and expression of genes encoding key context-specific regulators, including the rest maintenance factor KLF2 and the versatile regulator MYC."
40545244,CD274,orthogonal_phenotype,orthogonal_phenotype,167,Stim8hr,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40545244,CD5,orthogonal_phenotype,orthogonal_phenotype,1201,Stim48hr,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40545244,FOXP3,orthogonal_phenotype,orthogonal_phenotype,4,Stim48hr,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40545244,IL2RA,orthogonal_phenotype,orthogonal_phenotype,25,Stim48hr,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40545244,KLRG1,orthogonal_phenotype,orthogonal_phenotype,,,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40955316,FOXP3,contradicted,comparable,4,Stim48hr,Effects of CRISPR-Cas9-mediated &lt;i&gt;FOXP3&lt;/i&gt; knockout on CAR T cell potency.,"While the transcription factor forkhead box protein P3 (FOXP3) is primarily known for its role in regulatory T cell development and maintenance, recent studies suggest it may also influence effector T cell function."
41074026,TRAT1,contradicted,comparable,4,Stim48hr,T cell receptor associated transmembrane adaptor 1 (TRAT1) modulates human Th17 and Treg responses via PI3-kinase and STAT dependent mechanisms.,"Overexpression and CRISPR/Cas9-mediated knockout of TRAT1 in Treg enhanced suppression of CD4+ target cells via up-regulation of LAP/GARP but reduced suppression of CD8+ target cells, an effect confirmed in HLA-A2-specific CAR Treg in a human organoid model of allo-rejection.ConclusionsTRAT1 acts as a dual regulator of human CD4+ T cell function, limiting effector activation through modulation of intracellular signaling and supporting regulatory T cell-mediated suppression."
41074026,TRAT1,contradicted,comparable,4,Stim48hr,T cell receptor associated transmembrane adaptor 1 (TRAT1) modulates human Th17 and Treg responses via PI3-kinase and STAT dependent mechanisms.,"T cell Receptor Associated Transmembrane Adaptor 1 (TRAT1) has been implicated in modulating TCR complex stability, but its functional role in human effector and regulatory CD4+ T cell subsets remains poorly understood."
